city_name_eng,hate_crime_log,logvk,logspbsu2,logspbsu1,logspbsu3,logpop,disttopiter,disttomoscow,logwage11,wage,University_exists,lognet11b,fract11b,ldpr_03,protesters_log
Novocheboksarsk,0,10.526346206665,0,0,0,4.82108783721924,1094,616.400024414063,9.6338415145874,10885,0,11.1980609893799,0.499765634536743,0.109302967786789,0
Shumerlja,0,8.29354953765869,0,0,0,3.71843814849854,1073,552.799987792969,9.5936279296875,10885,0,11.1321020126343,0.110149309039116,0.0768297612667084,0
Jakutsk,0,11.7075710296631,1.60943794250488,1.3862943649292,1.0986123085022,5.28725624084473,972.700012207031,1578,10.5297203063965,23024,1,11.9752635955811,0.359399825334549,0.0894338339567184,0
Birobidzhan,0,9.04144859313965,1.0986123085022,0,0,4.38576984405518,1624,1776,10.1740865707397,15249,1,11.1339778900146,0.216287434101105,0.151680901646614,0
Novokubansk,0,8.35302543640137,0,0.6931471824646,0,3.4688560962677,1799,1209,9.56338882446289,16648,0,11.2349948883057,0.10574908554554,0.132409170269966,0
Blagodarnyj,0,7.90581035614014,0.6931471824646,0,0,3.55534815788269,1867,1253,9.44375133514404,12913,0,11.0658121109009,0.0812240839004517,0.163030669093132,0
Izobil'nyj,0,8.49801063537598,0,0,0.6931471824646,3.66099429130554,1789,1190,9.6499490737915,12913,0,11.1160469055176,0.135226160287857,0.169356644153595,0
Novopavlovsk,0,7.89245223999023,0,0,0,3.18635272979736,1989,1378,9.60804176330566,12913,0,11.1095886230469,0.0769016668200493,0.157539486885071,0
Neftekumsk,0,7.88833427429199,0.6931471824646,0.6931471824646,0,3.25037455558777,1952,1329,9.72004508972168,12913,0,11.1269330978394,0.0753353387117386,0.120896905660629,0
Vel'sk,0,9.56752490997314,0,0,0,3.29212617874146,655.900024414063,645.900024414063,9.86198806762695,19310,0,11.161810874939,0.323632180690765,0.123939380049706,0
Ahtubinsk,0,9.15609550476074,0,0,0.6931471824646,3.8836236000061,1649,1014,9.48410129547119,14641,0,11.1275205612183,0.23971252143383,0.146830201148987,0
Novyj Oskol,0,8.41161060333252,0,0,0,3.08190989494324,1125,554.400024414063,9.62357521057129,16839,0,11.1801490783691,0.117608360946178,0.113336965441704,0
Djat'kovo,0,8.46737289428711,0,0,0,3.56671190261841,747,318.899993896484,9.47262763977051,13298,0,11.0890102386475,0.134777337312698,0.119218304753304,0
Karachev,0,8.34164905548096,0,0,0,3.11351537704468,811.400024414063,338.700012207031,9.36074161529541,13298,0,11.0820608139038,0.120730645954609,0.120023317635059,0
Unecha,0,8.51218032836914,0,1.0986123085022,0,3.4499876499176,802.700012207031,454.200012207031,9.57045936584473,13298,0,11.156683921814,0.131964966654778,0.14090858399868,0
Aleksandrov,0,9.65136528015137,0,0,0.6931471824646,4.22244453430176,630.400024414063,99.4199981689453,9.81400012969971,12424,0,11.0750093460083,0.365654587745667,0.119150005280972,0
Kirzhach,0,8.68219947814941,0,0,0,3.23474907875061,656.099975585938,89.6399993896485,9.67476558685303,12424,0,11.1573247909546,0.154119834303856,0.125836998224258,0
Kol'chugino,0,8.96200752258301,0,0,0,3.85651040077209,668.5,125.699996948242,9.69701671600342,12424,0,11.1631555557251,0.19683401286602,0.143337711691856,0
Sobinka,0,7.96831941604614,0,0,0,3.1484534740448,721.200012207031,152,9.6498851776123,12424,0,11.2007160186768,0.0757868066430092,0.156146928668022,0
Jur'ev-Pol'skij,0,8.1019811630249,0,0,0,3.07269334793091,668.299987792969,152.800003051758,9.54230213165283,12424,0,11.062385559082,0.098203144967556,0.160403922200203,0
Kotel'nikovo,0,8.00636768341065,0,0,0,3.08190989494324,1601,978.599975585938,9.89827442169189,14122,0,11.2442665100098,0.0753888338804245,0.181724309921265,0
